condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,ConformalCSR,0.9,0.8201690978379355,0.7370787243458634,0.9106268234162257
temperature_plus5,ConformalCSR,0.91,0.8215299380317556,0.7406787194483425,0.9162540110340897
temperature_plus5,ConformalCSR,0.92,0.8232198931296036,0.7444060334293358,0.9292681050499917
temperature_plus5,ConformalCSR,0.93,0.831777140006959,0.7474206369089261,0.9414967700717902
temperature_plus5,ConformalCSR,0.9400000000000001,0.8360406780927252,0.7534843663734218,0.9553591230038055
temperature_plus5,ConformalCSR,0.9500000000000001,0.8466857453362028,0.758719237792793,0.9694267174167495
temperature_plus5,ConformalCSR,0.96,0.858508235281221,0.7656431939345631,0.9815263203100467
temperature_plus5,ConformalCSR,0.97,0.8689684137105917,0.7697982205122983,0.9899976411617567
temperature_plus5,ConformalCSR,0.98,0.8749443820067706,0.7751713895487201,0.989528663103346
temperature_plus5,ConformalCSR,0.99,0.877407859877617,0.7799061390438875,0.987509521652017
temperature_plus5,ConformalCSR,1.0,0.879643278797191,0.7829515086457178,0.9906001526752093
temperature_plus10,Gain,0.01,1.5111404199253102,1.1361302657686396,2.064653205968178
temperature_plus10,Gain,0.02,1.6312992955176353,1.1816027820186912,2.0919411244986423
temperature_plus10,Gain,0.03,1.4860627953742327,1.1246665635363646,1.8974596397162313
temperature_plus10,Gain,0.04,1.3188161670238419,1.05393029672622,1.724114780122819
temperature_plus10,Gain,0.05,1.314033572438081,1.0372634269183802,1.6143343587975367
temperature_plus10,Gain,0.06,1.2741262151861543,1.0240118979003567,1.5569672845223208
temperature_plus10,Gain,0.07,1.214405831996232,1.004001027056808,1.4922665367607397
temperature_plus10,Gain,0.08,1.1848550876707489,0.9760336303589514,1.4402258712216758
temperature_plus10,Gain,0.09,1.1315485919694623,0.9558112977302827,1.3822697286062768
temperature_plus10,Gain,0.1,1.1189777367158875,0.9413918252313223,1.3380176344409962
temperature_plus10,Gain,0.11,1.1034552104209918,0.9397074099922891,1.3057415430999937
temperature_plus10,Gain,0.12,1.0826822964306035,0.9367531723244341,1.2707881402912418
temperature_plus10,Gain,0.13,1.0771371141220942,0.9373520058540737,1.2511666177388057
temperature_plus10,Gain,0.14,1.0863541709053695,0.9330192924887727,1.236074689232773
temperature_plus10,Gain,0.15,1.0699718820071435,0.9316993251902137,1.2211492197397478
temperature_plus10,Gain,0.16,1.0569659220480547,0.9265887200502771,1.2082208392648892
temperature_plus10,Gain,0.17,1.0536741053745213,0.9259964284680658,1.2045306278913446
temperature_plus10,Gain,0.18,1.03893310311848,0.921811589317557,1.1939820312836342
temperature_plus10,Gain,0.19,1.0294776042830096,0.9217403333155364,1.1867171677707578
temperature_plus10,Gain,0.2,1.0557440664074003,0.9187780148295742,1.190658412619739
temperature_plus10,Gain,0.21,1.0472426475173993,0.9112891139319385,1.1883919030319565
temperature_plus10,Gain,0.22,1.0365852423111286,0.9069214997632562,1.1833678772871628
temperature_plus10,Gain,0.23,1.0251418990783083,0.9025200491564531,1.1788387860865963
temperature_plus10,Gain,0.24,1.0293939606432336,0.8991155796719548,1.1904877829961205
temperature_plus10,Gain,0.25,1.0224479081922657,0.896393821605549,1.2059826039066412
temperature_plus10,Gain,0.26,1.0338061498593811,0.8946196032284021,1.2189831374299824
temperature_plus10,Gain,0.27,1.0465181223564508,0.8998551348167841,1.2274070759909732
temperature_plus10,Gain,0.28,1.0462000523227664,0.9010649545365278,1.2349035241792536
temperature_plus10,Gain,0.29,1.082417329925519,0.9034253014390309,1.2412120255209143
temperature_plus10,Gain,0.3,1.0769502068211074,0.8999786894877039,1.2390438053704487
temperature_plus10,Gain,0.31,1.0662614034316635,0.9003538296501503,1.233839792097725
temperature_plus10,Gain,0.32,1.0575702118544956,0.8978058529622169,1.2279377910417852
temperature_plus10,Gain,0.33,1.0525351753893204,0.8979288003912251,1.2247539742633073
temperature_plus10,Gain,0.34,1.0507506822889168,0.8948730152986856,1.2155087056194906
temperature_plus10,Gain,0.35000000000000003,1.0459106090169656,0.892153609083861,1.2034006999010072
temperature_plus10,Gain,0.36,1.0344538031401405,0.88981284132579,1.1938880590687828
temperature_plus10,Gain,0.37,1.0280461166980035,0.8876918561992775,1.1867316256981435
temperature_plus10,Gain,0.38,1.0243100586330458,0.885958307532042,1.1809583964764947
temperature_plus10,Gain,0.39,1.024028687757805,0.8845037502398735,1.173398117199976
temperature_plus10,Gain,0.4,1.0193196124595423,0.8827480237015424,1.1676534130478273
temperature_plus10,Gain,0.41000000000000003,1.0189256379192217,0.8807804470256178,1.159239539627096
temperature_plus10,Gain,0.42,1.0170450435526648,0.8771893221720204,1.1552754531773155
temperature_plus10,Gain,0.43,1.006462676495017,0.874361838525886,1.14892259780852
temperature_plus10,Gain,0.44,1.0054900168928207,0.8747489469692943,1.1456226966779446
temperature_plus10,Gain,0.45,1.0011692734012174,0.8745279377769116,1.1406105757331555
temperature_plus10,Gain,0.46,0.9998421979529696,0.875020581147678,1.1335766546974937
temperature_plus10,Gain,0.47000000000000003,0.9993472793504661,0.8748405922786231,1.1289903921469437
temperature_plus10,Gain,0.48,0.9982609606453184,0.8744234675083635,1.122397650642473
temperature_plus10,Gain,0.49,0.9948160608350216,0.8747913320628818,1.1181531826139315
temperature_plus10,Gain,0.5,0.9911278458658697,0.8739886459365427,1.1136394246348822
temperature_plus10,Gain,0.51,0.9852985271301474,0.8726004159078946,1.1092835710064468
temperature_plus10,Gain,0.52,0.9798715936079962,0.8718694496125182,1.1056426101489583
temperature_plus10,Gain,0.53,0.9810616249360761,0.8720322338578426,1.1035895218719718
temperature_plus10,Gain,0.54,0.9821480410329699,0.8718597515543168,1.1019048841401573
temperature_plus10,Gain,0.55,0.9791254499049367,0.8721084633104559,1.103004585771853
temperature_plus10,Gain,0.56,0.9779204874312201,0.8729263730707602,1.1041075932745745
temperature_plus10,Gain,0.5700000000000001,0.9773940988501962,0.8721820552342137,1.1071870266108244
temperature_plus10,Gain,0.58,0.9769488135460729,0.8699704553205982,1.1102152052790548
temperature_plus10,Gain,0.59,0.9917927475967292,0.868222462927514,1.1085811336187485
temperature_plus10,Gain,0.6,0.9903022001113648,0.864893032563709,1.1092662676577922
temperature_plus10,Gain,0.61,0.9824346537859149,0.8591253044907511,1.1086955560187715
temperature_plus10,Gain,0.62,0.976382262622458,0.8538574212069076,1.1070148982808996
temperature_plus10,Gain,0.63,0.9761259653494194,0.8531949032062817,1.1029344908837613
temperature_plus10,Gain,0.64,0.9699175271928462,0.8518402361610982,1.1011704404622993
temperature_plus10,Gain,0.65,0.96762967094697,0.8490683585306636,1.0983860500617126
temperature_plus10,Gain,0.66,0.9662387170795989,0.849993642504789,1.0961576027560787
temperature_plus10,Gain,0.67,0.9679874924528268,0.8503538625914173,1.09400053556544
temperature_plus10,Gain,0.68,0.968487804510921,0.8507197595606445,1.0919352183734614
temperature_plus10,Gain,0.6900000000000001,0.9690597403714972,0.851202162957927,1.0928169288181842
temperature_plus10,Gain,0.7000000000000001,0.9690290402079702,0.850887456842726,1.0905622932670067
